"simplified";"traditional";"pinyin";"description"
"隔药";"隔藥";"gaak3 joek4";"影响药效：饮茶会～。"
"隔日";"隔日";"gaak3 njat4";"隔了一天"
"隔夜";"隔夜";"gaak3 je4";"隔了一夜"
"隔晚";"隔晚";"gaak3 maan2";"隔了一个晚上"
"隔年";"隔年";"gaak3 nin4";"隔了一年"
"隔𢆡";"隔𢆡";"gaak3 nen1";"小孩子断奶"
"隔粥";"隔粥";"gaak3 zuk1";"将米粒从粥水中捞出来"
"膈栅肉";"膈柵肉";"gaak3 saan1 njuk4";"人或哺乳动物体腔中分隔胸腹两腔的膜状肌肉"
"甘草盐";"甘草鹽";"gaam1 cau2 jim4";"将甘草汁放入食盐中制作的蘸料。"
"甘蔗𠵝";"甘蔗𠵝";"gaam1 ze3 njaa1";"甘蔗经咀嚼或压榨剩下的渣滓"
"甘草和百味";"甘草和百味";"gaam1 cau2 wo4 baak3 mi4";"形容为人随和，平易近人"
"甘草榄";"甘草欖";"gaam1 cau2 laam2";"用甘草做佐料制作的榄子"
"柑果";"柑果";"gaam1 gwo2";"柑橘"
"监仓";"監倉";"gaam1 cong1";"监狱"
"监趸";"監躉";"gaam1 dan2";"指被羁押在监牢里时间较长的人"
"监头";"監頭";"gaam1 tau4";"牢头"
"减腩";"減腩";"gaam2 naam2";"减肥，特指减肚腩"
"奸精";"奸精";"gaan1 zing1";"精明狡猾"
"枧波";"梘波";"gaan2 bo1";"肥皂泡"
"枧粉";"梘粉";"gaan2 fan2";"洗衣粉"
"枧水";"梘水";"gaan2 sui2";"肥皂水"
"拣食";"揀食";"gaan2 sik4";"挑食"
"拣菜□";"揀菜□";"gaan2 coi3 haap3";"挑拣菜叶，把不好的挑拣出来"
"拣菜食";"揀菜食";"gaan2 coi3 sik4";"挑菜吃"
"拣人";"揀人";"gaan2 njan4";"挑选人"
"拣人来";"揀人來";"gaan2 njan4 loi4";"看人办事或说话，喻见风使舵"
"拣剩";"揀剩";"gaan2 sing4";"挑选之后剩下来的"
"拣过";"揀過";"gaan2 gwo3 laau3";"喻男女挑选对象时，因为挑剔而过了适婚的年龄"
"拣过笼";"揀過籠";"gaan2 gwo3 lung4";"喻男女挑选对象时，因为挑剔而过了适婚的年龄"
"拣主卖萝卜";"揀主賣蘿蔔";"gaan2 zi2 maai4 lo4 baak4";"喻选择同伴或做某事时，一定要有心目中认定的人选才行。"
"拣衫";"揀衫";"gaan2 saam1";"挑衣服"
"间尺";"間尺";"gaan3 cek3";"刻度尺"
"间开";"間開";"gaan3 hoi1";"隔开，划开"
"间刀";"間刀";"gaan3 dau1";"在肉类等食材上用菜刀划开，以使入味"
"间花";"間花";"gaan3 faa1";"用刀子在食材或面点上面修饰花样"
"挭狗";"挭狗";"gaang3 gau2";"蝼蛄"
"佮钱";"佮錢";"gaap3 cin4";"凑钱：大家～做生意。"
"佮得";"佮得";"gaap3 dak1";"合得来：我跟佢都～。"
"佮份";"佮份";"gaap3 fan4";"合伙，合份：～做生意。"
"佮伙";"佮夥";"gaap3 fo2";"合伙：～做生意。"
"佮起身";"佮起身";"gaap3 hi2 san1";"合起来，凑起来：～得百零文。"
"佮手佮脚";"佮手佮腳";"gaap3 sau2 gaap3 goek3";"齐心协力"
"佮手";"佮手";"gaap3 sau2";"做事默契、团结"
"佮煲";"佮煲";"gaap3 bau1";"合伙做饭"
"佮食";"佮食";"gaap3 sik4";"在一起生活、吃饭"
"佮人";"佮人";"gaap3 njan4";"①交友；②勾搭异性"
"佮老契";"佮老契";"gaap3 lau2 kai3";"找情人"
"交带";"交帶";"gaau1 daai3";"嘱咐，吩咐：明明都～过你了仲系冇记得！"
"交佮";"交佮";"gaau1 gaap3";"结交，结识。"
"交关";"交關";"gaau1 gwaan1";"①表程度高：摊猪脚粉好食～；②形容为人刻薄：只娘妈够～哦！"
"胶擦";"膠擦";"gaau1 caat3";"橡皮擦"
"胶带";"膠帶";"gaau1 daai3";"①涂有黏性物质的带状塑料；②两端固定有铁钩的软橡胶条，多用于运输物体时的固定。"
"胶弹";"膠彈";"gaau1 daan4";"玩具枪的塑料子弹"
"胶弹枪";"膠彈槍";"gaau1 daan4 coeng1";"打塑料子弹的玩具枪"
"胶钳";"膠鉗";"gaau1 kem4";"老虎钳"
"胶箍";"膠箍";"gaau1 ku1";"又叫树胶箍，橡皮筋圈。"
"胶通";"膠通";"gaau1 tung1";"中空的橡皮筋，可用作轮胎气门芯和弹弓的皮筋"
"胶纸";"膠紙";"gaau1 zi2";"塑料膜"
"胶纸袋";"膠紙袋";"gaau1 zi2 doi4";"塑料袋"
"胶喉";"膠喉";"gaau1 hau4";"塑料软水管"
"胶窒";"膠窒";"gaau1 zat1";"橡胶塞子"
"搞吵";"搞吵";"gaau2 caau2";"打扰，吵嚷，又作“搅吵”：冇好意思哦又来～你。"
"搞错";"搞錯";"gaau2 co3";"弄错"
"搞扂";"搞扂";"gaau2 dim4";"完成，解决，搞定：你只任务～未？"
"搞档";"搞檔";"gaau2 dong3";"搞破坏，捣乱：佢哋通日来嗰啲～。"
"搞搞阵";"搞搞陣";"gaau2 gaau2 zan4";"无事生非，瞎捣乱"
"搞鬼";"搞鬼";"gaau2 gwai2";"捣乱，暗中破坏"
"搞鬼搞马";"搞鬼搞馬";"gaau2 gwai2 gaau2 maa2";"捣乱，暗中破坏"
"搞嘢";"搞嘢";"gaau2 nje2";"①搞事情：冇要在我地头～；②发生性行为。"
"搞妥";"搞妥";"gaau2 to2";"搞扂，完成，解决"
"搞到";"搞到";"gaau2 dau3";"导致，以至于：早知如此都冇至于～倾家荡产。"
"搞三搞四";"搞三搞四";"gaau2 slaam1 gaau2 sli3";"挑拨离间，从中作梗"
"搞尪";"搞尪";"gaau2 wong1";"使混乱，搞坏。"
"搞直";"搞直";"gaau2 zik4";"完成，解决：帮我～单嘢。"
"搅浆";"攪漿";"gaau2 zoeng1";"搅拌水泥"
"搅浆机";"攪漿機";"gaau2 zoeng1 gi1";"混凝土搅拌机"
"搅吵";"攪吵";"gaau2 caau2";"打搅，打扰，吵嚷，又作“搞吵”：你冇成日来～我！"
"搅屎棍";"攪屎棍";"gaau2 si2 gwan3";"捣乱、挑动是非：冇要你来啲～！"
"教书";"教書";"gaau3 si1";"当老师，任教：佢在二中～。"
"教书先生";"教書先生";"gaau3 si1 slin1 saang1";"老师。"
"校钟";"校鍾";"gaau3 zung1";"调节时钟，设定闹钟。"
"鸡蛋果";"雞蛋果";"gai1 daan4 gwo2";"百香果。"
"鸡肠文";"雞腸文";"gai1 coeng4 man4";"字母文字，多指英文：你写啲～我冇识睇得直。"
"鸡兜";"雞兜";"gai1 dau1";"装鸡饲料的容器。"
"鸡窦";"雞竇";"gai1 dau3";"①鸡窝；②形容住所杂乱：你间屋一当~噉；③妓院俗称。"
"鸡店";"雞店";"gai1 dim3";"妓院。"
"鸡颈";"雞頸";"gai1 geng2";"鸡脖子。"
"鸡冠花";"雞冠花";"gai1 gun1 faa1";"一种草本植物。"
"鸡冠子";"雞冠子";"gai1 gun1 zi2";"又称草珠子，是薏苡属植物野生薏苡的产籽，丢沙包游戏中的沙包常用此物填充。"
"鸡公";"雞公";"gai1 gung1";"公鸡。"
"鸡公车";"雞公車";"gai1 gung1 ce1";"独轮车。"
"鸡血藤";"雞血藤";"gai1 hit3 tang4";"鸡血藤，为五味子科、大血藤科、菟丝子科、蝶形花科等多种植物的别称。"
"鸡红";"雞紅";"gai1 hung4";"将鸡血凝结制成的食品。"
"鸡入笼";"雞入籠";"gai1 jap4 lung4";"傍晚。"
"鸡翼";"雞翼";"gai1 jik4";"鸡翅膀。"
"鸡翼梢";"雞翼梢";"gai1 jik4 saau1";"鸡翅膀尖，亦代指鸡翅膀。"
"鸡笠";"雞笠";"gai1 lap1";"关鸡的笼子。"
"鸡卵";"雞卵";"gai1 lin2";"鸡的睾丸。"
"鸡笼";"雞籠";"gai1 lung4";"装鸡用的竹编笼子。"
"鸡盲";"雞盲";"gai1 maang4";"夜盲症。"
"鸡毛扫";"雞毛掃";"gai1 maau4 slau3";"鸡毛掸子。"
"鸡乸";"雞乸";"gai1 naa2";"母鸡。"
"鸡眼";"雞眼";"gai1 ngaan2";"脚趾或脚掌皮肤角质增生形成的小硬块。"
"鸡爪";"雞爪";"gai1 njaau1";"鸡爪。"
"鸡婆";"雞婆";"gai1 po4";"妓女。"
"鸡屎藤";"雞屎藤";"gai1 si2 tang4";"即鸡矢藤，茜草科。夏季采收全草晒干可入药。其味甘、微苦，性平。具有祛风利湿，止痛解毒，消食化积，活血消肿之功效。"
"鸡嗉";"雞嗉";"gai1 sli3";"位于鸡脖子到胸口之间一个暂时储存食物的囊。"
"鸡同鸭讲";"雞同鴨講";"gai1 tung4 aap3 gong2";"形容无法沟通：我讲白话，佢讲英语，真系～！"
"鸡杂";"雞雜";"gai1 zaap4";"鸡内脏做成的食物。"
"鸡罩";"雞罩";"gai1 zaau3";"竹编的无底鸡笼。"
"鸡肢毛芿";"雞肢毛芿";"gai1 zi1 maau4 njang1";"起鸡皮疙瘩。"
"鸡椒";"雞椒";"gai1 ziu1";"即指天椒。"
"鸡脽";"雞脽";"gai1 zui1";"鸡屁股。"
"鸡啼";"雞啼";"gai1 tai4";"鸡叫。"
"计仔";"計仔";"gai3 zai2";"计策，建议办法。"
"计带";"計帶";"gai3 daai3";"计较：啲细数就冇～啦！"
"计较窝";"計較窩";"gai3 gaau3 wo1";"后脑窝。"
"计讲";"計講";"gai3 gong2";"以为，亦可作框式结构“计…讲”：我计你今日冇得闲讲。"
"今日";"今日";"gam1 njat4";"今天"
"今朝";"今朝";"gam1 ziu1";"今天早上"
"今朝早";"今朝早";"gam1 ziu1 zau2";"今天早上"
"今晚黑";"今晚黑";"gam1 maan2 hak1";"今晚"
"今时今日";"今時今日";"gam1 si4 gam1 njat4";"现在，此时"
"金罂";"金罌";"gam1 eng1";"装尸骨的坛子。"
"金包铁";"金包鐵";"gam1 baau1 tit3";"金环蛇。"
"金鼓";"金鼓";"gam1 gu2";"官话金钱鱼（学名：Scatophagus argus），鱼体侧扁，呈圆盘状，背部高耸隆起，口小。鳞片细小，鱼体呈黄褐色，散布许多黑色圆斑，腹部银白色，尾鳍截形。（图自：https://commons.wikimedia.org/wiki/File:Scatophagus_argus_(Wroclaw_zoo)-2.JPG）"
"金瓜";"金瓜";"gam1 gwaa1";"南瓜。"
"金牙";"金牙";"gam1 ngaa4";"金质的假牙。"
"金铺";"金鋪";"gam1 pu3";"卖金银器的店铺。"
"金桔";"金桔";"gam1 gat1";"柑果类一个品种。"
"金鱼黄";"金魚黃";"gam1 nji4 wong4";"橙色。"
"噉时";"噉時";"gam2 si4";"此时。"
"噉先";"噉先";"gam2 slin1";"先这样"
"噉样";"噉樣";"gam2 joeng4";"这样"
"噉子";"噉子";"gam2 zi2";"这样，这样子：冇得～做嘅哇！"
"禁鐖";"禁鐖";"gam3 gai1";"从屋内将门锁锁死：睡觉之前记得~。"
"揿定";"撳定";"gam4 ding4";"按住"
"揿实";"撳實";"gam4 sat4";"按住"
"揿手";"撳手";"gam4 sau2";"猜码游戏中猜双方手指数总和为零的一种喊法"
"揿掣";"撳掣";"gam4 zai3";"①按钮；②按按钮"
"根种";"根種";"gan1 zung2";"血脉，血统"
"跟到尾";"跟到尾";"gan1 dau3 mi2";"跟着"
"跟老契";"跟老契";"gan1 lau2 kai3";"找外遇:佢老婆~了。"
"跟尾";"跟尾";"gan1 mi2";"后来"
"跟张";"跟張";"gan1 zoeng1";"麻将用语，即打和上家一样的牌"
"紧火";"緊火";"gan2 fo2";"时间紧张、迫在眉睫：凡事预多啲时间，冇要咁～。"
"紧喉";"緊喉";"gan2 hau4";"嘴馋，迫不及待要吃东西：啲嘢未熟透，冇使咁～。"
"紧要";"緊要";"gan2 jiu3";"紧急重要，形容情况危急"
"紧要事";"緊要事";"gan2 jiu3 sli4";"重要的事"
"近排";"近排";"gan4 paai4";"最近，近期"
"緪实";"緪實";"gang1 sat4";"使绷紧"
"粳米";"粳米";"gang1 mai2";"粳米是大米的一种，常见的主食，又作“尖米”"
"哽心口";"哽心口";"gang2 slam1 hau2";"胸部满闷之感，心闷。"
"梗系";"梗係";"gang2 hai4";"肯定是"
"蛤乸";"蛤乸";"gap1 naa2";"大只的青蛙"
"急救车";"急救車";"gap1 gau3 ce1";"救护车"
"𥄫实";"𥄫實";"gap4 sat4";"紧紧盯着：你帮我～佢。"
"吉忧";"吉憂";"gat1 njau1";"烦恼，生气：我惹到佢发～了。"
"㓤手";"㓤手";"gat1 sau2";"刺手，有刺的：小心啲草～"
"疙瘩";"疙瘩";"gat4 dat4";"凸起物，绳结"
"疙𦣇";"疙𦣇";"gat4 lo1";"陀螺"
"胳肋肢";"胳肋肢";"gat4 lak1 ze1";"腋窝。"
"胳□肢";"胳□肢";"gat4 le1 ze1";"腋窝"
"高压煲";"高壓煲";"gau1 aat3 bau1";"高压锅"
"高凳";"高凳";"gau1 dang3";"蹬腿较长的凳子"
"高关";"高關";"gau1 gwaan1";"同“交关”"
"高懬懬";"高懬懬";"gau1 kwaang3 kwaang3";"形容高大：佢虽然生得～到，但系打篮球就一般般。"
"高佬";"高佬";"gau1 lau2";"个头高的人"
"高踭鞋";"高踭鞋";"gau1 zaang1 haai4";"高跟鞋"
"㞗屘";"㞗屘";"gau1 me1";"小男孩生殖器。"
"㞗𦘮";"㞗𦘮";"gau1 me1";"小男孩生殖器。"
"㞗脧";"㞗脧";"gau1 ze1";"小男孩生殖器。"
"㞗屎";"㞗屎";"gau1 si2";"傲慢，争强好胜，自以为了不起：佢好～噶！你冇咁容易追得到哦！"
"狗窦";"狗竇";"gau2 dau3";"狗窝，比喻肮脏杂乱的房屋"
"狗屌";"狗屌";"gau2 diu2";"詈语"
"狗竉褂";"狗竉褂";"gau2 lung1 gwaa3";"背心。"
"狗尾粟";"狗尾粟";"gau2 mi2 sluk1";"粟米，小米。"
"狗毛虫";"狗毛蟲";"gau2 maau4 cung4";"毛虫，蛾蝶幼虫"
"狗乸";"狗乸";"gau2 naa2";"母狗"
"狗虱";"狗蝨";"gau2 sat1";"寄生狗体﹑吸食狗血的虱子"
"狗莳菜";"狗蒔菜";"gau2 si4 coi3";"红薯的茎叶"
"狗仔";"狗仔";"gau2 zai2";"①小狗；②同“狗仔队”"
"狗仔队";"狗仔隊";"gau2 zai2 dui4";"专门跟踪名人寻新闻的记者"
"九八佬";"九八佬";"gau2 baat3 lau2";"对生意中介人的特称"
"九世";"九世";"gau2 sai3";"永远：～都冇想再见到佢。"
"九街";"九街";"gau2 gaai1";"钦州学院西校区至英华学院段市林科所附近"
"九冬腊月";"九冬臘月";"gau2 dung1 laap4 njit4";"腊月。"
"久晴大雾雨，久雨大雾晴";"久晴大霧雨，久雨大霧晴";"gau2 cing4 daai4 mu4 ji2,gau2 ji2 daai4 mu4 cing4";"钦州农谚：如果晴天持续了很久，起大雾则预示雨水将至；如果一直在下雨，起大雾则预示天气将转晴。"
"久旱西风冇雨，久雨西风冇晴";"久旱西風冇雨，久雨西風冇晴";"gau2 hon2 slai1 fung1 mau2 ji2,gau2 ji2 slai1 fung1 mau2 cing4";"钦州农谚：如果很久没下雨了，刮西风则预示干旱还将持续；如果一直在下雨，刮西风则预示阴雨天气仍将持续。"
"够饱";"夠飽";"gau3 baau2";"够吃、能吃饱：一碗饭～冇？"
"够本";"夠本";"gau3 bun2";"回本，不亏：一张票耍了一晚，～哦！"
"够餐";"夠餐";"gau3 caan1";"能满足胃口，泛指得到满足：今日畀你食～去。"
"够秤";"夠秤";"gau3 cing3";"足秤，不缺斤少两"
"够担";"夠擔";"gau3 daam3";"形容两人或多人性格、爱好相似：嗰两只嘢真系～哦，都系咁烂耍嘅！"
"够候";"夠候";"gau3 hau4";"火候足够"
"够喉";"夠喉";"gau3 hau4";"能满足胃口：今晚未饮～。"
"够格";"夠格";"gau3 gaak3";"①合格，有资格；②难相处，自视清高，目中无人：只嘢真系~哦，跟佢讲话都冇理人噶。"
"够颈";"夠頸";"gau3 geng2";"刻薄，傲慢"
"够味";"夠味";"gau3 mi4";"味道浓得恰到好处：啲汤～啦。"
"够眼";"夠眼";"gau3 ngaan2";"睡眠充足：昨晚冇睡得～。"
"够皮";"夠皮";"gau3 pi4";"足够，满足：今日打球打得～哦！"
"够数";"夠數";"gau3 slu3";"达到预期数目"
"够钟";"夠鍾";"gau3 zung1";"到时间：～落班。"
"够胆";"夠膽";"gau3 daam2";"有胆量"
"够瘾";"夠癮";"gau3 jan2";"过瘾：今日耍～未？"
"救火车";"救火車";"gau3 fo2 ce1";"消防车"
"旧年";"舊年";"gau4 nin4";"去年"
"旧时";"舊時";"gau4 si4";"以前，从前"
"惊丑";"驚醜";"geng1 cau2";"害羞：上台冇要～。"
"惊死";"驚死";"geng1 sli2";"①贪生怕死；②生怕，唯恐：～人家冇还钱佢。"
"惊惊缩缩";"驚驚縮縮";"geng1 geng1 sluk1 sluk1";"畏畏缩缩：年轻人做事冇要～。"
"颈筋";"頸筋";"geng2 gan1";"脖子"
"颈渴";"頸渴";"geng2 hot3";"口渴"
"颈链";"頸鍊";"geng2 lin4";"项链"
"颈蛇";"頸蛇";"geng2 se4";"环状颈纹，既脖子上的环状皱纹"
"绞笔";"絞筆";"geu2 bat1";"连笔字"
"绞笔字";"絞筆字";"geu2 bat1 zi4";"连笔字"
"绞成球";"絞成球";"geu2 sing4 kau4";"缠成一团"
"撬马脚";"撬馬腳";"geu4 maa2 goek3";"象棋术语"
"机谷";"機谷";"gi1 guk1";"用机器加工稻谷"
"机米";"機米";"gi1 mai2";"用机器加工稻米"
"机头";"機頭";"gi1 tau4";"（机器、载具等的）发动机。"
"㚻佬";"㚻佬";"gi1 lau2";"男同性恋者。"
"基佬";"基佬";"gi1 lau2";"男同性恋者。"
"几多";"幾多";"gi2 do1";"多少：你有~钱？"
"几好";"幾好";"gi2 hau2";"挺好的"
"几何";"幾何";"gi2 ho4";"询问频数，常用于反问，表示罕见、难得：～正得出来耍一次，想食就食。"
"几耐";"幾耐";"gi2 noi4";"多久：我哋～冇见过面了。"
"几时";"幾時";"gi2 si4";"什么时候"
"几早";"幾早";"gi2 zau2";"早就：～都喊你冇要噉子做。"
"几大";"幾大";"gi2 daai4";"（年龄、体积等）多大"
"记账";"記賬";"gi3 zoeng3";"记在帐上，引申为赊账"
"寄礼";"寄禮";"gi3 lai2";"不出席喜宴，托人捎带贺礼"
"激身";"激身";"gik1 san1";"激发身体活力"
"㥛气";"㥛氣";"gik4 hi3";"生气：佢搞得我真系好~。"
"㥛死老窦揾山拜";"㥛死老竇搵山拜";"gik4 sli2 lau2 dau4 wan2 saan1 baai3";"为了扫墓而把自己的父亲气死，形容言语或行为令人十分气愤或无奈，亦指用错误的手段去达到目的。"
"兼之";"兼之";"gim1 zi1";"表补充的副词，而且，此外，再者：落咁大雨，~路又冇好走。"
"俭惜";"儉惜";"gim4 slik1";"爱惜物品，使不受损"
"涓水";"涓水";"gin1 sui2";"斟水"
"涓茶";"涓茶";"gin1 caa4";"斟茶"
"涓酒";"涓酒";"gin1 zau2";"斟酒"
"见丑";"見醜";"gin3 cau2";"觉得丢脸：噉子嘅事都做得出来，你一终冇～噶？"
"见路";"見路";"gin3 lu4";"能见度良好"
"见使";"見使";"gin3 sai2";"（看起来）够用：而家物价贵，一百文都冇~。"
"见食";"見食";"gin3 sik4";"（看起来）量多而耐吃。"
"劲抽";"勁抽";"ging4 cau1";"厉害：只入球真系～哦！"
"涩嘴";"澀嘴";"gip3 zui2";"嘴里感到不滑润不好受的滋味"
"结疤";"結疤";"git3 baa1";"活组织脱落形成死组织块"
"结婚酒";"結婚酒";"git3 fan1 zau2";"婚宴酒席：今年国庆我有五场～要饮。"
"结飞机";"結飛機";"git3 fi1 gi1";"折纸飞机"
"结数";"結數";"git3 slu3";"结账、买单：昨晚最后系边人～？"
"叫鸡";"叫雞";"giu3 gai1";"招妓"
"哥仔";"哥仔";"go1 zai2";"小伙子"
"哥头";"哥頭";"go1 tau4";"团伙的头目"
"哥哥仔";"哥哥仔";"go4 go1 zai2";"大哥哥"
"歌仔";"歌仔";"go1 zai2";"歌曲"
"嗰次";"嗰次";"go3 ci3";"这次"
"嗰轮";"嗰輪";"go3 lan4";"这次，这下"
"嗰趟";"嗰趟";"go3 tong3";"这次"
"嗰阵";"嗰陣";"go3 zan4";"这时候"
"嗰嘴";"嗰嘴";"go3 zui2";"这下：~爽哦！"
"脚板";"腳板";"goek3 baan2";"脚掌"
"脚板底";"腳板底";"goek3 baan2 dai2";"脚底"
"脚骨";"腳骨";"goek3 gwat1";"小腿，踝骨"
"脚乸头";"腳乸頭";"goek3 naa2 tau4";"脚趾头"
"脚眼";"腳眼";"goek3 ngaan2";"踝骨"
"脚踭";"腳踭";"goek3 zaang1";"后脚跟"
"脚踭㞘";"腳踭㞘";"goek3 zaang1 duk1";"脚后跟"
"脚跛";"腳跛";"goek3 bai1";"瘸腿"
"脚甲";"腳甲";"goek3 gaap3";"脚趾甲"
"脚链";"腳鏈";"goek3 lin4";"脚镣"
"脚面";"腳面";"goek3 min4";"脚背"
"脚𢲜";"腳𢲜";"goek3 slan4";"脚抖：饿到~齐。"
"脚力";"腳力";"goek3 lik4";"关系、人脉等有利条件：人家啲～几好惊，你同点比？"
"脚撑";"腳撐";"goek3 caang3";"摩托车或者自行车停车时与地面接触使车子直立的支撑架。"
"角落头";"角落頭";"gok3 lok3 tau4";"角落"
"角子";"角子";"gok3 zi2";"货币单位“角”的俗称"
"角钱";"角錢";"gok3 cin4";"货币单位“角”的俗称"
"干葛";"乾葛";"gon1 got3";"豆科植物野葛的根，又称“葛根”"
"干捞";"乾撈";"gon1 laau1";"（粉、面）不加汤水的：～粉"
"干冬湿年，禾黍满田";"乾冬溼年，禾黍滿田";"gon1 dung1 sap1 nin4,wo4 si2 mun2 tin4";"钦州农谚，意为冬至天晴，过年时下雨，来年收成就会好"
"赶生赶死";"趕生趕死";"gon2 saang1 gon2 sli2";"形容辛苦奔波"
"江边";"江邊";"gong1 bin1";"河岸。"
"讲大话";"講大話";"gong2 daai4 waa4";"夸口，说谎：～鼻公会变长。"
